gene_symbol	tumor_mean
ARID4A	0.04441757372659083
ARID4B	0.020185156843965046
ARID5A	-0.10237676603466284
ARID5B	0.07848475053331683
ARIH1	0.05410841352212792
ARIH2	-0.01810769689815217
ARL1	-0.066706171083176
ARL10	0.19073576454030317
ARL11	0.15411114129357983
ARL13A	0.18560545878191803
ARL13B	0.0901812606020922
ARL14EP	0.07567333840447432
ARL15	0.08297807393730139
ARL16	0.12060080574393872
ARL2	0.1718770520488917
ARL2BP	-0.0064386942326652985
ARL3	0.11801327227496472
ARL4C	0.057144884331901125
ARL5A	-0.028298730665619942
ARL5B	-0.12183372693487726
ARL6	0.10886045377389308
ARL6IP1	0.2066421179571254
ARL6IP4	-0.031161174585667695
ARL6IP5	-0.12012580041924537
ARL6IP6	-0.21092583101471618
ARL8A	0.01477408451203388
ARL8B	0.11060146094732204
ARMC1	0.09012307118330298
ARMC10	-0.005871593661561647
ARMC5	0.07468145005055149
ARMC6	-0.03194808805932681
ARMC7	0.09661445970015414
ARMC8	0.009183952514820959
ARMC9	0.13116618093265764
ARMCX1	0.03852736890049968
ARMCX2	0.026989401871158947
ARMCX3	-0.10668561290475864
ARMCX4	0.044968521709895626
ARMCX5	0.10767259094673065
ARMCX6	0.02792235511329544
ARMH3	-0.009400768166432982
ARMT1	-0.9096221193069347
ARNT	0.010606166361068148
ARNT2	-0.1221358497214311
ARNTL	0.07861257226517893
ARPC1A	0.014117482132629533
ARPC1B	0.1557995832007677
ARPC2	0.09915646726371463
ARPC3	0.19546655396952772
ARPC4	0.16549190249189039
ARPC5	0.1695741452892534
ARPC5L	0.16764998108489593
ARPIN	0.4991893517915136
ARPP19	0.003520370284039842
ARRB1	0.07734778195409042
ARRB2	0.057471606291446875
ARRDC1	0.0838874605632931
ARRDC2	0.1526893359821866
ARSA	-0.27540711961381703
ARSB	0.17477128706336842
ARSD	0.023760477488576015
ARSF	-0.03130169776598457
ARSG	0.3982462147690864
ARSI	-0.015897944895590044
ART3	0.19990495796889718
ARV1	-0.2565965578666436
ARVCF	-0.08831397919317396
AS3MT	-0.0587160349525071
ASAH1	0.13417080072911602
ASAP1	0.10721456952318675
ASAP2	0.0537815263021848
ASAP3	0.22072032868509694
ASB1	-0.08247437732934415
ASB13	-0.10481612901501869
ASB3	0.005467074778072956
ASB6	0.04502662904424071
ASB7	0.178359515775945
ASB8	0.012945170869059552
ASB9	-0.3176684528390208
ASCC1	0.05174021513410665
ASCC2	-0.0427730426895252
ASCC3	-0.05822540308475865
ASDURF	0.04245641381760912
ASF1A	-0.20060989405600438
ASF1B	-0.19021607575273514
ASGR2	0.3891980708985088
ASH1L	0.008453575145068726
ASH2L	0.008024545672245864
ASL	0.025624140976336918
ASMTL	-0.06111508537205523
ASNS	-0.40957963633700345
ASNSD1	0.05119957996777913
ASPA	0.13446119143334556
ASPH	-0.23150155440016817
ASPHD1	-0.3568431031820065
ASPHD2	0.13478516506107763
ASPM	-0.2113664711282297
ASPN	0.16411315080440403
ASPRV1	0.11059327021777765
ASPSCR1	0.054799554071529144
ASRGL1	-0.26788273259160533
ASS1	-0.23880823443777643
ASTE1	0.006602604107740717
ASTN2	-0.06260470296351883
ASXL1	-0.32742420593725896
ASXL2	0.000769383892242459
ATAD1	-0.12832540738062548
ATAD2	-0.3572607762078128
ATAD2B	-0.08466499054955534
ATAD3A	0.01952187855069809
ATAD3B	-0.26918898853481465
ATAD5	0.15636044191963627
ATAT1	-0.057126830007764084
ATE1	0.015038254353225255
ATF1	-0.03770762891631563
ATF2	0.07394154161394262
ATF3	-0.27185798435096586
ATF6	-0.18058970367368765
ATF6B	-0.10508881879296617
ATF7	0.06705397458963525
ATF7IP	0.04883795929315582
ATG10	0.09853662533557639
ATG101	0.05516757763598079
ATG12	0.0847095937850888
ATG13	0.03967713729478284
ATG14	0.12739736389133327
ATG16L1	0.008179087916207806
ATG16L2	0.21093205035796103
ATG2A	-0.060082192284603764
ATG2B	0.03178112397509025
ATG3	-0.010163231106153248
ATG4A	-0.003110911504958125
ATG4B	-0.09060689126288679
ATG4C	0.06866560912108
ATG4D	-0.1483557900511947
ATG5	0.010100460585299231
ATG7	0.05794676348681804
