step,added_metabolite_id,subsystem,distortion_after,record_type,panel_size,strategy,trial,distortion
98.0,MAM02110r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6303605711796298,greedy_trace,,,,
99.0,MAM00264r,Carnitine shuttle (endoplasmic reticular);Fatty acid oxidation;Formation and hydrolysis of cholesterol esters,1.6300425563565843,greedy_trace,,,,
100.0,MAM00343r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6297252787675247,greedy_trace,,,,
101.0,MAM00012r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6294085113070114,greedy_trace,,,,
102.0,MAM00110r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.629092126998332,greedy_trace,,,,
103.0,MAM02052r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.628776477719413,greedy_trace,,,,
104.0,MAM01586r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.628461261029108,greedy_trace,,,,
105.0,MAM00101r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6281465372639794,greedy_trace,,,,
106.0,MAM02747x,Beta oxidation of phytanic acid (peroxisomal);Fatty acid oxidation,1.6278321461607392,greedy_trace,,,,
107.0,MAM02612r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6275182160248418,greedy_trace,,,,
108.0,MAM01773r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6272052833688406,greedy_trace,,,,
109.0,MAM00123r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6268928072411153,greedy_trace,,,,
110.0,MAM00023r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6265807020608953,greedy_trace,,,,
111.0,MAM00006r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.626269578991236,greedy_trace,,,,
112.0,MAM01236r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6259588043035302,greedy_trace,,,,
113.0,MAM01725r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.625648896912099,greedy_trace,,,,
114.0,MAM01141r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6253395271213225,greedy_trace,,,,
115.0,MAM00118r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6250305900421114,greedy_trace,,,,
116.0,MAM01237r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6247222590533403,greedy_trace,,,,
117.0,MAM00004r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6244142461695175,greedy_trace,,,,
118.0,MAM00020r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.624106885371971,greedy_trace,,,,
119.0,MAM01191r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6237998413385828,greedy_trace,,,,
120.0,MAM00106r,Carnitine shuttle (endoplasmic reticular);Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters,1.6234932152626493,greedy_trace,,,,
,,,,panel_comparison,20.0,geometry_aware,0.0,1.846619031578612
,,,,panel_comparison,20.0,degree,0.0,48.35228574112003
,,,,panel_comparison,20.0,random,0.0,224.23507175618232
,,,,panel_comparison,20.0,random,1.0,41.660142980646874
,,,,panel_comparison,20.0,random,2.0,40.47185289503081
,,,,panel_comparison,20.0,random,3.0,45.316469942220834
,,,,panel_comparison,20.0,random,4.0,16.20114976124151
,,,,panel_comparison,20.0,random,5.0,14.246489536321087
,,,,panel_comparison,20.0,random,6.0,39.28917555261567
,,,,panel_comparison,20.0,random,7.0,48.305581552421046
,,,,panel_comparison,20.0,random,8.0,15.034765110304514
,,,,panel_comparison,20.0,random,9.0,49.05225169173428
,,,,panel_comparison,40.0,geometry_aware,0.0,1.8347208386603322
,,,,panel_comparison,40.0,degree,0.0,30.864313623655466
,,,,panel_comparison,40.0,random,0.0,49.14389375808693
,,,,panel_comparison,40.0,random,1.0,10.79212659478612
,,,,panel_comparison,40.0,random,2.0,8.39626552724607
,,,,panel_comparison,40.0,random,3.0,16.172908223464667
,,,,panel_comparison,40.0,random,4.0,16.59568879990393
,,,,panel_comparison,40.0,random,5.0,18.73164054463539
,,,,panel_comparison,40.0,random,6.0,29.370290796153036
,,,,panel_comparison,40.0,random,7.0,1241.8612862105276
,,,,panel_comparison,40.0,random,8.0,30.230253770398466
,,,,panel_comparison,40.0,random,9.0,31.566794674042104
,,,,panel_comparison,60.0,geometry_aware,0.0,1.8235765167208196
,,,,panel_comparison,60.0,degree,0.0,30.697025854041044
,,,,panel_comparison,60.0,random,0.0,25.52598872892625
,,,,panel_comparison,60.0,random,1.0,15.479097455658545
,,,,panel_comparison,60.0,random,2.0,21.495104077953354
,,,,panel_comparison,60.0,random,3.0,16.414210041035556
,,,,panel_comparison,60.0,random,4.0,24.199192642944734
,,,,panel_comparison,60.0,random,5.0,15.349615261174508
,,,,panel_comparison,60.0,random,6.0,24.450800098641697
,,,,panel_comparison,60.0,random,7.0,11.440873073161532
,,,,panel_comparison,60.0,random,8.0,24.849489389564205
,,,,panel_comparison,60.0,random,9.0,15.863180707945702
,,,,panel_comparison,80.0,geometry_aware,0.0,1.6807816327487848
,,,,panel_comparison,80.0,degree,0.0,30.125692957733808
,,,,panel_comparison,80.0,random,0.0,20.56570471953218
,,,,panel_comparison,80.0,random,1.0,14.213165068738144
,,,,panel_comparison,80.0,random,2.0,9.04510096511355
,,,,panel_comparison,80.0,random,3.0,9.427344067409466
,,,,panel_comparison,80.0,random,4.0,9.139173868404937
,,,,panel_comparison,80.0,random,5.0,7.796230915780589
,,,,panel_comparison,80.0,random,6.0,27.14562893570515
,,,,panel_comparison,80.0,random,7.0,14.881987499969146
,,,,panel_comparison,80.0,random,8.0,12.116536731357177
,,,,panel_comparison,80.0,random,9.0,22.762509676223694
,,,,panel_comparison,100.0,geometry_aware,0.0,1.6297252787675247
,,,,panel_comparison,100.0,degree,0.0,27.882992830712467
,,,,panel_comparison,100.0,random,0.0,14.193933271206689
,,,,panel_comparison,100.0,random,1.0,16.656882236645252
,,,,panel_comparison,100.0,random,2.0,11.365440662847941
,,,,panel_comparison,100.0,random,3.0,7.143316802286469
,,,,panel_comparison,100.0,random,4.0,10.074765733540193
,,,,panel_comparison,100.0,random,5.0,10.095177114757773
,,,,panel_comparison,100.0,random,6.0,10.883816863523602
,,,,panel_comparison,100.0,random,7.0,20.38544378884412
,,,,panel_comparison,100.0,random,8.0,16.106496943005727
,,,,panel_comparison,100.0,random,9.0,18.53460230181239
,,,,panel_comparison,120.0,geometry_aware,0.0,1.6234932152626493
,,,,panel_comparison,120.0,degree,0.0,23.391224771756427
,,,,panel_comparison,120.0,random,0.0,8.578480985207593
,,,,panel_comparison,120.0,random,1.0,9.42816957222885
,,,,panel_comparison,120.0,random,2.0,575.7943653757857
,,,,panel_comparison,120.0,random,3.0,8.321948636031655
,,,,panel_comparison,120.0,random,4.0,12.988152045285904
,,,,panel_comparison,120.0,random,5.0,7.351872557643787
,,,,panel_comparison,120.0,random,6.0,9.067003703201008
,,,,panel_comparison,120.0,random,7.0,11.644359370318455
,,,,panel_comparison,120.0,random,8.0,8.282462492767586
,,,,panel_comparison,120.0,random,9.0,9.882680344113712
