metabolite_id,subsystem,leverage_topology,leverage_proteomics,delta_leverage,abs_delta_leverage
MAM00135r,Fatty acid activation (endoplasmic reticular);Formation and hydrolysis of cholesterol esters;Pool reactions,7.357501008113373e-06,6.660477634885365e-06,-6.97023373228008e-07,6.97023373228008e-07
MAM02544c,Amino sugar and nucleotide sugar metabolism,2.8707504184524593e-05,2.9404214243950893e-05,6.967100594263005e-07,6.967100594263005e-07
MAM00793n,Fatty acid biosynthesis,3.870567460727188e-06,4.567195841512104e-06,6.966283807849161e-07,6.966283807849161e-07
MAM10008c,Terpenoid backbone biosynthesis,7.64623176310124e-06,6.950007667664497e-06,-6.96224095436743e-07,6.96224095436743e-07
MAM10010c,Terpenoid backbone biosynthesis,7.64623978073782e-06,6.950038952908349e-06,-6.962008278294705e-07,6.962008278294705e-07
MAM03106e,Exchange/demand reactions;Glycosphingolipid metabolism;Nucleotide metabolism,7.854035000573966e-07,1.4811722106184013e-06,6.957687105610047e-07,6.957687105610047e-07
MAM02545c,Isolated,8.438420209286734e-06,7.742760423873781e-06,-6.956597854129524e-07,6.956597854129524e-07
MAM01525g,Chondroitin / heparan sulfate biosynthesis;Transport reactions,1.0542363691509588e-05,9.846731700220198e-06,-6.956319912893908e-07,6.956319912893908e-07
MAM01708m,"Glycine, serine and threonine metabolism;Transport reactions",6.129117127430969e-07,1.3082921696423806e-06,6.953804568992836e-07,6.953804568992836e-07
MAM02994r,Prostaglandin biosynthesis;Transport reactions,2.1097318997414576e-06,2.8047131918524706e-06,6.94981292111013e-07,6.94981292111013e-07
MAM03635l,Sphingolipid metabolism;Transport reactions,9.89753107543264e-06,1.0592254460676952e-05,6.947233852443113e-07,6.947233852443113e-07
MAM01679r,Glycosphingolipid metabolism;Transport reactions,2.02833665366368e-05,1.9589043427117237e-05,-6.943231095195617e-07,6.943231095195617e-07
MAM03292c,Drug metabolism,4.259116820067577e-06,3.565490652081483e-06,-6.936261679860943e-07,6.936261679860943e-07
MAM03438c,Peptide metabolism;Transport reactions,1.8441981000235033e-05,1.9134572163576145e-05,6.925911633411114e-07,6.925911633411114e-07
MAM03744e,Exchange/demand reactions;Transport reactions,2.238341571229819e-06,2.929734767010834e-06,6.91393195781015e-07,6.91393195781015e-07
MAM00929c,Xenobiotics metabolism,4.665453682108141e-06,5.356171070820781e-06,6.907173887126401e-07,6.907173887126401e-07
MAM03099c,"Phenylalanine, tyrosine and tryptophan biosynthesis;Transport reactions;Tyrosine metabolism",1.2377517961212368e-06,1.9280313556668486e-06,6.902795595456119e-07,6.902795595456119e-07
