cell_line,panel_size,trial,topology_distortion,proteomics_distortion,delta_distortion
CNS:SF-268,500,3,1.3992064381013167,1.405238190497942,0.006031752396625345
CNS:SF-268,500,4,1.4124760091932542,1.4135987236430383,0.001122714449784068
CNS:SF-268,500,5,1.409435691118191,1.4047686128041184,-0.004667078314072537
CNS:SF-268,500,6,1.4021548710892566,1.4117804538023393,0.00962558271308267
CNS:SF-268,500,7,1.4002879283308602,1.4031559020088564,0.002867973677996183
CNS:SF-268,500,8,1.4114887430785341,1.4125987949379462,0.0011100518594120423
CNS:SF-268,500,9,1.3960018575141724,1.3943523289098956,-0.0016495286042768065
CNS:SF-268,500,10,1.3983913206383831,1.4104317106502986,0.01204039001191548
CNS:SF-295,50,1,1.3416364892518555,1.339116338943578,-0.002520150308277458
CNS:SF-295,50,2,1.3231692731508364,1.2673050158917973,-0.055864257259039096
CNS:SF-295,50,3,1.275444997865958,1.2917150349460578,0.016270037080099664
CNS:SF-295,50,4,1.2587329599407993,1.258213595668721,-0.0005193642720782154
CNS:SF-295,50,5,1.3714098538481176,1.370581300924856,-0.0008285529232616717
CNS:SF-295,50,6,1.13672904941255,1.0838822797250873,-0.0528467696874626
CNS:SF-295,50,7,1.3673897407958622,1.4022514190026363,0.034861678206774105
CNS:SF-295,50,8,1.2371555492023465,1.2361759962173504,-0.0009795529849960793
CNS:SF-295,50,9,1.235139628397864,1.290978752569617,0.055839124171753074
CNS:SF-295,50,10,1.3292115520775374,1.276326119521532,-0.05288543255600531
CNS:SF-295,100,1,1.3879384647568425,1.3845559290392329,-0.0033825357176096027
CNS:SF-295,100,2,1.2549004087084283,1.2621478935912966,0.007247484882868305
CNS:SF-295,100,3,1.385543373919883,1.3724063170436196,-0.013137056876263431
CNS:SF-295,100,4,1.4070353909133047,1.4072230912646493,0.00018770035134463292
CNS:SF-295,100,5,1.2260380210262762,1.2535345362811379,0.02749651525486163
CNS:SF-295,100,6,1.4010360933225887,1.406449426074072,0.0054133327514833685
CNS:SF-295,100,7,1.3683492964979844,1.3723860802043677,0.0040367837063832734
CNS:SF-295,100,8,1.3751191418606545,1.4126040900061723,0.03748494814551773
CNS:SF-295,100,9,1.3618242329745898,1.3352458995340029,-0.02657833344058691
CNS:SF-295,100,10,1.375414889352443,1.3799662252657734,0.0045513359133304565
CNS:SF-295,200,1,1.4075085603491917,1.4036887051326834,-0.0038198552165082944
CNS:SF-295,200,2,1.3901452573795898,1.3857725730329924,-0.004372684346597433
CNS:SF-295,200,3,1.3981863447029916,1.3818352944743049,-0.01635105022868677
CNS:SF-295,200,4,1.4025741792174056,1.410261350661799,0.007687171444393348
CNS:SF-295,200,5,1.3489173120133233,1.3691584223790385,0.020241110365715187
CNS:SF-295,200,6,1.383906220432651,1.3987881091019245,0.014881888669273424
CNS:SF-295,200,7,1.37956273693497,1.3962599517220897,0.01669721478711983
CNS:SF-295,200,8,1.4023371925553259,1.3635685133848527,-0.03876867917047311
CNS:SF-295,200,9,1.4004939461960866,1.4104092271235777,0.009915280927491166
CNS:SF-295,200,10,1.3890863593400218,1.3928052663314774,0.003718906991455606
CNS:SF-295,500,1,1.4016353320725896,1.403368591199368,0.0017332591267784636
CNS:SF-295,500,2,1.410343423817478,1.4052466617482766,-0.005096762069201288
CNS:SF-295,500,3,1.392909209204604,1.3947766096315675,0.0018674004269634281
CNS:SF-295,500,4,1.4116601472348775,1.4120179710526344,0.0003578238177568416
CNS:SF-295,500,5,1.411316667127416,1.4108026329933723,-0.0005140341340437171
CNS:SF-295,500,6,1.4109872675355621,1.4105849286494987,-0.0004023388860634469
CNS:SF-295,500,7,1.3981761961442596,1.4046780136663728,0.006501817522113207
CNS:SF-295,500,8,1.4022438466100333,1.3994995754926352,-0.002744271117398167
CNS:SF-295,500,9,1.4055074244213168,1.4043054555176095,-0.0012019689037072734
CNS:SF-295,500,10,1.4109523667065158,1.4116872903776119,0.000734923671096066
CNS:SNB-19,50,1,1.3485934177654513,1.3546351703370267,0.006041752571575465
CNS:SNB-19,50,2,1.2689351644442883,1.2911442062989384,0.022209041854650113
CNS:SNB-19,50,3,1.3076126814505318,1.2783024418504367,-0.029310239600095045
CNS:SNB-19,50,4,1.2880969983791521,1.3129388560227602,0.024841857643608023
CNS:SNB-19,50,5,1.2427544004406617,1.1930931985995374,-0.049661201841124214
CNS:SNB-19,50,6,1.237780698699783,1.2336862426081843,-0.004094456091598753
CNS:SNB-19,50,7,1.2214082833270241,1.1668381019757201,-0.05457018135130398
CNS:SNB-19,50,8,1.2749139963121063,1.2558250992638529,-0.01908889704825345
CNS:SNB-19,50,9,1.2210065090407718,1.2647546781807417,0.04374816913996993
CNS:SNB-19,50,10,1.2835982707692462,1.3240329332765572,0.04043466250731109
CNS:SNB-19,100,1,1.396016404009088,1.3999331632797003,0.003916759270612191
CNS:SNB-19,100,2,1.371065370604021,1.374800112993628,0.0037347423896070264
CNS:SNB-19,100,3,1.3888914785435864,1.3714720426678104,-0.01741943587577599
CNS:SNB-19,100,4,1.322700355463707,1.3171947698853683,-0.005505585578338579
CNS:SNB-19,100,5,1.3759465838308946,1.391393378501492,0.015446794670597397
CNS:SNB-19,100,6,1.3672349572504339,1.365195744742024,-0.0020392125084098822
CNS:SNB-19,100,7,1.3949553990333852,1.395053177948489,9.777891510376335e-05
CNS:SNB-19,100,8,1.3633929712344781,1.3612737610450203,-0.002119210189457821
CNS:SNB-19,100,9,1.2597338610779683,1.2321976829444954,-0.027536178133472866
CNS:SNB-19,100,10,1.410815596640979,1.4030955019372657,-0.007720094703713265
CNS:SNB-19,200,1,1.325992060031998,1.3466195257272864,0.020627465695288283
CNS:SNB-19,200,2,1.3708287292126329,1.3782203438509624,0.007391614638329491
CNS:SNB-19,200,3,1.3811869724799457,1.4002163422862075,0.019029369806261798
