cell_line,panel_size,trial,panel_type,distortion,geometry_aware_distortion,random_mean_distortion,advantage,n_valid_random_trials,nontrivial_full_rank
CNS:SF-268,50,0,geometry_aware,1.1093920312616425,,,,,
CNS:SF-268,50,-1,summary,,1.1093920312616425,1.2502453301082235,0.14085329884658093,10.0,22.0
CNS:SF-268,100,1,random,1.3795847794067673,,,,,
CNS:SF-268,100,2,random,1.4114677504547137,,,,,
CNS:SF-268,100,3,random,1.3724744745006583,,,,,
CNS:SF-268,100,4,random,1.341538308110546,,,,,
CNS:SF-268,100,5,random,1.374617745609654,,,,,
CNS:SF-268,100,6,random,1.40337702573075,,,,,
CNS:SF-268,100,7,random,1.3970030455059719,,,,,
CNS:SF-268,100,8,random,1.3970735248074175,,,,,
CNS:SF-268,100,9,random,1.3909917878950964,,,,,
CNS:SF-268,100,10,random,1.2912510607618926,,,,,
CNS:SF-268,100,0,geometry_aware,0.9865635752498355,,,,,
CNS:SF-268,100,-1,summary,,0.9865635752498355,1.3759379502783469,0.38937437502851135,10.0,22.0
CNS:SF-268,200,1,random,1.3992520802500052,,,,,
CNS:SF-268,200,2,random,1.4101606098468988,,,,,
CNS:SF-268,200,3,random,1.4011514953327198,,,,,
CNS:SF-268,200,4,random,1.4024247281089863,,,,,
CNS:SF-268,200,5,random,1.391509969493588,,,,,
CNS:SF-268,200,6,random,1.4024265775350717,,,,,
CNS:SF-268,200,7,random,1.3990164424770584,,,,,
CNS:SF-268,200,8,random,1.4055714463798874,,,,,
CNS:SF-268,200,9,random,1.3943104617190736,,,,,
CNS:SF-268,200,10,random,1.3974620676843155,,,,,
CNS:SF-268,200,0,geometry_aware,0.9630609728573531,,,,,
CNS:SF-268,200,-1,summary,,0.9630609728573531,1.4003285878827605,0.43726761502540734,10.0,22.0
CNS:SF-268,500,1,random,1.4141292346378063,,,,,
CNS:SF-268,500,2,random,1.412989709150424,,,,,
CNS:SF-268,500,3,random,1.4065594917340989,,,,,
CNS:SF-268,500,4,random,1.411458454620809,,,,,
CNS:SF-268,500,5,random,1.397613065654755,,,,,
CNS:SF-268,500,6,random,1.409575297426651,,,,,
CNS:SF-268,500,7,random,1.409843914762679,,,,,
CNS:SF-268,500,8,random,1.410613342029336,,,,,
CNS:SF-268,500,9,random,1.405140954779202,,,,,
CNS:SF-268,500,10,random,1.4103724927928178,,,,,
